,uuid,sentence,intention
5375,E3830330004297030,还有没有,无
5376,E9000200011724013,邓大勇,无
5377,E3830330003479020,那我今天晚上试一下,无
5378,E3830330001927014,宝安区福永塘尾,无
5379,E3830330001404008,有租吗,无
5380,E3830330001459008,不知道多少度,无
5381,E3830330003416012,是眼睛转科,无
5382,E3830330001232023,但是你们医院应该用不了吧,无
5383,E3830330003226017,我看看吧，还不确定,无
5384,E3830330001589029,这几天还忙着,无
5385,E3830330002444022,小孩子自己有不就可以用吗,无
5386,E3830330001473010,也不庠,无
5387,E3830330004111010,这样吗？,无
5388,E3830330001753003,人工吗,无
5389,E3830330004017009,去医院好麻烦,无
5390,E3830330002176003,我女儿17岁,无
5391,E3830330003381058,你是护士吗,无
5392,E3830330010616010,没受过伤啊。,无
5393,E9000200015822032,阳光眼科和合川眼科,无
5394,E3830330004073009,我在东莞，你那边太远了,无
5395,E3830330015458035,20号没空吧，要忙工作,无
5396,E2871200011167016,如果没有社保,无
5397,E3830330015360018,新桥街道,无
5398,E3830330000263007,每天睡眠大概有七个小时，,无
5399,E3830330003056016,福田上沙,无
5400,E3830330002384061,多少现在,无
5401,E3830330000306018,汕头人民医院,无
5402,E2569490001807017,理想眼科,无
5403,E9000200005036023,何旭尧,无
5404,E2871200035805001,600度近视手术后能顺产吗,无
5405,E3830330015489003,今早起来。,无
5406,E3830330001617006,突然会的,无
5407,E3830330007193003,是啊，想去看下眼睛,无
5408,E3830330003409011,平湖华侨医院,无
5409,E3830330004472027,可能不方便,无
5410,E3830330001983060,最近有点忙,无
5411,E3830330015304054,我这边只有1万左右。,无
5412,E3830330004600013,没有，先咨询一下,无
5413,E3830330000070006,我想知道有没有,无
5414,E3830330002971009,我也不是很清楚，没出过度数,无
5415,E3830330001983012,我想用用你们的药水，可又要上班，怕人多排队不方便,无
5416,E3830330011251005,应该挂什科,无
5417,E3830330013219010,我不是打算现在做,无
5418,E9000200015272019,说曾昭华的名字就行了吗,无
5419,E3830330003681012,有资料,无
5420,E3830330016243008,看不出什么异常,无
5421,E3830330015087019,这二天去什么时候可以戴上,无
5422,E9000200013611020,余明杰,无
5423,E2871200053459019,叫新视界,无
5424,E3830330013231011,没有影响视力,无
5425,E3830330003775004,嗯，30岁,无
5426,E3830330003144008,防保站,无
5427,E3830330002409040,过去就直接挂号还是？,无
5428,E2569490005309021,上海市宝山区共和新路那边,无
5429,E3830330004673005,56岁是本人。,无
5430,E3830330016785018,黄国章,无
5431,E9000200012649058,百盛几楼,无
5432,E3830330003665014,也好请假,无
5433,E3830330001588015,现在那么小戴眼镜,无
5434,E3830330001875012,就想着激光可能 不开刀,无
5435,E3830330003370016,嗯，我姓谢,无
5436,E3830330003874002,你娘疲！到处是广告！,无
5437,E3830330003911040,太谢谢了,无
5438,E3830330006884019,到时候我去附近眼科医院看吧！谢谢你哈,无
5439,E3830330003037026,同意一下呗,无
5440,E3830330000393017,还不确定时间,无
5441,E9000200013911021,大概时间,无
5442,E3830330001393024,是啊我仔盐田区,无
5443,E3830330004499005,我奶奶,无
5444,E9000200009140005,他是大坪医院的医生,无
5445,E3830330016669004,学验光师有什么条件吗？,无
