sentence,label,uuid
那嗓子怎么办，治疗抽动症的话，嗓子上有包呀，以前感冒或是疱疹啥的都没有那样的包，一片,描述症状,E0010000001113019
2017年9月生的，不会叫,描述症状,E0010000001399005
抽动症平时需要注意什么,咨询注意事项,E0010000002017001
现在偏矮 以后还能爱香长吗,描述症状,E0010000002391029
今天输液回来之后就嗜睡 我想问是不是大夫药量下的重了,咨询病因,E0010000002670005
如果我要是去的话到时咱们微信联系可以吗李医生？,确定联系意愿,E0010000003661038
没有了。暂时没问题了。下次我找个时间。  因为这是网页的有时候没看到,确定联系意愿,E0020000000280065
矫正牙齿哪种好,咨询治疗方式,E0020000000286003
保持器一般一副能用多久呢,无,E0020000002135051
我预约打你电话可以？,确定联系意愿,E0020000002928019
听说种植牙也有不好的缺点？,咨询副作用,E0020000003005011
要每个月还是每礼拜定期检查嘛,无,E0020000003436018
嗯嗯，做了三次，都没避孕，会怀孕吗？,描述生理现象,E0030000001708013
我发现我引产后就再也没怀孕过了,描述就诊史,E0030000003361012
你好 请问贵院可以做引产手术吗？,咨询治疗方式,E0030000004468003
那我上次是12月8号来的月经，12月22号23号算排卵期吗,描述生理现象,E0030000004705042
前个月24，5号吧,描述就诊史,E0030000006139005
今天早上八点左右吃的米索，刚排出这样的东西，是孕囊吗,描述就诊史,E0040000002741005
本来想是带环引起的结果把环取了还是出血,描述就诊史,E0040000003015013
包含吃药吗,无,E0040000003387037
45.生过两个,描述就诊史,E0040000003487006
你说的是月经的痛经吗,无,E0050000000270004
算了吧明天去四院看了,咨询公司介绍,E0050000001400011
刚开始有点痛，现在膏药贴了不怎么痛了86岁男,描述就诊史,E0050000002090010
这几年，没事，一点反应也没有,描述就诊史,E0060000000045018
麻烦你把医生的号给我发一下吧,咨询专家,E0060000000651015
如果有再去南京,确定联系意愿,E0060000001003025
牙床上的溃疡我担心硬下疳,咨询危害,E0060000001459029
查后可以给你打个电话吗,咨询电话,E0060000002165054
我想问病毒是否能杀死,咨询项目介绍,E0060000003454005
好了三四天又有了，53岁,描述就诊史,E0060000003572007
还需要复查吗？,无,E0060000004213004
不是说梅毒治愈后会有什么是终身阳性的,咨询副作用,E0060000005543008
微信问你,咨询微信,E0070000000964010
祛痘印有什么不需要恢复期的吗,咨询治疗方式,E0070000001992002
是药品。,无,E0070000003149011
你 确定你们医院把2850都 种完了 吗,无,E0080000000348043
就是吗呢你好多久,无,E0080000003798006
那最低到最高呢？,无,E0080000005276031
请问必利劲那个医院有卖的,咨询药物,E0090000000701004
那包皮长可以发生性关系吗,咨询项目介绍,E0090000001303009
