sentence,label
那么治疗效果好吗，,咨询疗效
耳部内窥镜,咨询检查方式
也可以治好吗,咨询疗效
内镜检查,咨询检查方式
想预约一下专家门诊号,确定预约时间
声阻抗检查,咨询检查方式
去年在军区总医院看的，挂了一周水,描述就诊史
大约需要多少费用，我是自费的,咨询价格
中耳炎手术有多大风险,咨询动刀
鼻炎可以治彻底吗,咨询疗效
耳部检查,咨询检查方式
耳鸣可以治疗吗,咨询治疗方式
鼻腔镜,咨询检查方式
我想问一下你们医院医生什么时候上班呢,咨询上班时间
能彻底治疗恢复正常吗？,咨询疗效
咽内镜,咨询检查方式
需要预约吗？人多吗？,确定预约时间
看鼻科哪个专家好啊,咨询专家
还有具体位置在哪里,咨询地址
你们这个异地医保报销吗,无
医生把您的微信号发给我吧,咨询微信
耳鸣能治愈吗,咨询疗效
你好！我想请问下明天耳科有专家号吗？,咨询专家
电测听,咨询检查方式
耳部内窥镜检查疼吗,咨询检查方式
随治随走吗,咨询住院
好的。治疗费用大么？,咨询价格
一般需要多久可以见效,咨询疗程
耳道镜检查,咨询检查方式
咽喉内窥镜,咨询检查方式
需要手术吗,咨询动刀
鼻镜,咨询检查方式
你好，我想问下，治疗大概要多少钱？,咨询价格
治疗一般要多少钱？,咨询价格
告知一下费用,咨询价格
价格是多少呢？,咨询价格
治疗下来需要花多少钱？,咨询价格
是怎么收费的？,咨询价格
费用怎么算的？,咨询价格
要多少钱呢,咨询价格
一般要多少钱,咨询价格
你就告诉一声，具体要多少钱？,咨询价格
大概要多少钱呀,咨询价格
治疗要多少钱？,咨询价格
要是到你们医院治疗的话估计需要多少钱？,咨询价格
像我这样的大概的花多少钱呢,咨询价格
我想问一下 具体费用,咨询价格
要多少钱,咨询价格
然后你预计我这个得花多少钱,咨询价格
看我这样的病大概需要多少钱,咨询价格
治疗大概需要多少费用了,咨询价格
多少钱,咨询价格
平常价格是多少钱啊,咨询价格
费用多少,咨询价格
得多少钱,咨询价格
说一下价格是多少？,咨询价格
麻烦讲一下费用是多少？,咨询价格
需要多少钱？,咨询价格
治疗费用怎么算的？,咨询价格
价格是多少？,咨询价格
想先了解一下价格,咨询价格
想问下治疗需要多少钱？,咨询价格
治疗的费用是多少？,咨询价格
和我讲一下大概费用吧,咨询价格
米粒大小的白点，诊断为色素脱失需多少钱大概,咨询价格
请问你们那里挂号费多少钱呢,咨询价格
我想问一下抗复发的药一个月多少钱,咨询价格
你们医院采用的治疗方式是什么？,咨询治疗方式
治疗方式？,咨询治疗方式
都有哪些治疗方式,咨询治疗方式
主要是通过什么方式治疗的,咨询治疗方式
目前通用的治疗方式是那种？,咨询治疗方式
那种治疗方式靠谱点？,咨询治疗方式
通过什么方式治疗的,咨询治疗方式
治疗方式有哪些？,咨询治疗方式
传统的治疗方式都有哪些,咨询治疗方式
保守的治疗方式有哪些,咨询治疗方式
可以治疗吗,咨询治疗方式
请问医生怎么办好？,咨询治疗方式
有哪些治疗方案吗,咨询治疗方式
怎样冶,咨询治疗方式
请问怎样能冶愈,咨询治疗方式
这个可以医吗？,咨询治疗方式
白癜风有法治吗,咨询治疗方式
有法治疗吗,咨询治疗方式
请问可以用药物治疗吗？,咨询药物
能治吗？,咨询治疗方式
医生我这病能够医治吗？[流泪],咨询疗效
这种好治疗吗,咨询治疗方式
10多年了，没什么好判断，说说你们有什么治疗方案？,咨询治疗方式
你有什么办法吗？,咨询治疗方式
这个好治疗吗？,咨询治疗方式
怎样控制，,咨询治疗方式
一般检查后，给予的治疗有哪些？,咨询治疗方式
能医治吗,咨询疗效
能治疗吗,咨询治疗方式
我就是想问能否治疗,咨询治疗方式
你好，怎么搞,咨询治疗方式
有好的方法治么,咨询治疗方式
治愈的方式有哪些,咨询治疗方式
治好这个要怎么做,咨询治疗方式
这个要怎么治疗,咨询治疗方式
有什么好的方法,咨询治疗方式
治疗的方法有哪些,咨询治疗方式
我只是想问一下怎么去掉它,咨询治疗方式
怎样去除,咨询治疗方式
小孩胎记如何处理,咨询治疗方式
新生儿胎记怎么消除,咨询治疗方式
怎么消除,咨询治疗方式
最好的方法,咨询治疗方式
怎么去除,咨询治疗方式
用什么方法治疗的呢,咨询治疗方式
怎么可以去掉,咨询治疗方式
方法有哪些,咨询治疗方式
胎记怎么处理,咨询治疗方式
如何治疗的,咨询治疗方式
怎么办呢,咨询治疗方式
眼代怎么治,咨询治疗方式
多久能治好,咨询疗程
治好会花很长时间吗,咨询疗程
需要花很长时间去治疗吗,咨询疗程
虚要治疗多久,咨询疗程
治疗过程会很长吗,咨询疗程
需要做几个疗程？最近没时间,咨询疗程
需要几个疗程呢？,咨询疗程
这个有疗程的吗？,咨询疗程
它有分疗程吗？,咨询疗程
做一次就好了吧？,咨询疗程
需要做几次？,咨询疗程
需要几个疗程？,咨询疗程
一般要治疗几次？,咨询疗程
需要多少时间？,咨询疗程
她说很简单，我的一次就可以治疗,咨询疗程
几天打一次,咨询疗程
需要一直治下去吗,咨询疗程
间隔多久做一次,咨询疗程
诊疗过程长吗,咨询疗程
这个治疗时间很短吧,咨询疗程
治疗不用花很长时间吧,咨询疗程
要治很长时间吗,咨询疗程
疗程怎么样,咨询疗程
分几次治疗呢,咨询疗程
需要做几个疗程？,咨询疗程
一般要做多少次？,咨询疗程
治疗需要多久,咨询疗程
一次治疗需要多久,咨询疗程
单次治疗需要多久,咨询疗程
