dialog_id,sentence_id,role,sentence,intent
0,20,CLIENT,只有10位数联系号码,咨询电话
2,31,CLIENT,那不是活动要多少,咨询价格
10,45,CLIENT,筛查还有其它费用吗,咨询检查费用
24,23,CLIENT,钱旭。男。38岁。10月20日预约。18644730682,确定预约时间
26,28,CLIENT,原价280太贵了吧？区医院好象才100多？,咨询价格
26,52,CLIENT,不知你那位置说不准要多长时间,咨询路线
30,21,CLIENT,毕竟我是学生，有点压力,咨询检查费用
34,36,CLIENT,真的我冒肠不好吃下去的营养吸收不得身体不太好,描述症状
44,52,CLIENT,那800跟原价680的区别在哪,咨询价格
50,10,CLIENT,是正规大型医院吗,咨询公司介绍
52,45,CLIENT,你那有地铁站吗？,咨询路线
95,28,CLIENT,用留院吗？,咨询住院
110,32,CLIENT,坐地铁要多久,咨询路线
125,8,CLIENT,已去医院做呼气试验,描述就诊史
178,16,CLIENT,B28在那儿下车,咨询路线
178,24,CLIENT,是不是优惠价,咨询价格
231,25,CLIENT,布洛芬,咨询药物
235,34,CLIENT,这样子怕不怕以后成胃癌,咨询危害
240,12,CLIENT,记得是16年做的肠穿孔手术，那时候说得是什么克罗恩,描述就诊史
289,13,CLIENT,什么病需要做肠镜检查,咨询项目介绍
346,1,CLIENT,胃胀气的症状,咨询项目介绍
417,14,CLIENT,如何整治呢？,咨询治疗方式
426,2,CLIENT,宝宝误食了玻璃渣子怎么办,咨询治疗方式
435,31,CLIENT,你在哪？,咨询地址
588,32,CLIENT,我这病有生命危险吗？,咨询危害
589,14,CLIENT,吃刺激东西还有受凉就会出现这种情况,描述症状
607,3,CLIENT,腹泻发热是不是肠炎,咨询病因
614,12,CLIENT,怎么处理？,咨询治疗方式
642,91,CLIENT,看坐车方便不,咨询路线
655,42,CLIENT,医生，这是生气引起的吗？,咨询病因
657,22,CLIENT,提前预约的价位,咨询价格
835,17,CLIENT,只是问一下而已搞那么复杂,无
891,0,CLIENT,左下腹痛是什么原因.,咨询病因
892,31,CLIENT,那我该怎么去除呢,咨询治疗方式
910,18,CLIENT,有可能是拉伤吗？,咨询病因
913,11,CLIENT,返流性食管炎,描述症状
940,25,CLIENT,那手脚麻脸也有点？那是为什么？,咨询病因
941,37,CLIENT,你在什么位置,咨询地址
943,21,CLIENT,我是说要去挂啥科,咨询检查方式
943,26,CLIENT,我想查微元量,无
956,36,CLIENT,我压力挺大的，有没有办法缓解？,咨询治疗方式
976,18,CLIENT,在什么地方？,咨询地址
999,7,CLIENT,那应该怎么处理?,咨询检查方式
1032,27,CLIENT,无痛的费用是另外出吗,咨询检查费用
1032,35,CLIENT,你在这里发给我就可以了我直接告诉他就好了到时候让他直接过去,咨询地址
1033,22,CLIENT,提升知名度？,无
1035,26,CLIENT,比如什么,无
1035,72,CLIENT,什么数据都没有的,无
1041,28,CLIENT,停机了,咨询电话
1051,7,CLIENT,哦，请问这个问题要紧吗？,咨询病因
1083,0,CLIENT,幽门螺旋菌的症状,咨询项目介绍
1083,17,CLIENT,怎么测,咨询检查方式
1117,34,CLIENT,是小门诊还是大医院？,咨询公司介绍
1126,24,CLIENT,呼吸都有压迫感,描述症状
1134,60,CLIENT,你先说说呗 我一会加,咨询微信
1134,71,CLIENT,喔 最近拦路啊,咨询路线
1150,29,CLIENT,无可奉告,无
1204,20,CLIENT,是否离我们很远,咨询路线
1259,19,CLIENT,好抽时间过去！明天上班吗？,咨询上班时间
1277,25,CLIENT,你们医院是民营企业？,咨询公立私立
1283,19,CLIENT,可怕，治愈需要多长时间,咨询疗程
1300,26,CLIENT,没有名字的，塑料袋装的,无
1316,6,CLIENT,头孢炳烯颗粒,咨询药物
1340,16,CLIENT,这个检查难受吗？,咨询疼痛程度
1378,40,CLIENT,你那里有没有新农合补貼,无
1380,51,CLIENT,明天我叫他帮我加,咨询QQ
1409,59,CLIENT,刚才我都找不到和你对话框,无
1415,37,CLIENT,好勒,无
1419,3,CLIENT,胃一直咕噜咕噜的打嗝说明什么,咨询病因
1423,25,CLIENT,这个吹气准确吗？,无
1435,25,CLIENT,舌头中间有一条裂缝,描述症状
1469,31,CLIENT,要不加我微信我给你发个红包吧,无
1469,36,CLIENT,推广推广之类的,无
1619,21,CLIENT,克拉霉素缓解片、阿莫西林胶囊、雷贝拉唑钠肠溶片、就这三种,咨询药物
1721,6,CLIENT,有没有什么风险啊？？？？,咨询危害
1740,62,CLIENT,我怎么联系你呢？,咨询电话
1765,20,CLIENT,你们用三联，四联方法治疗？,咨询治疗方式
1785,9,CLIENT,不知道是不是暴食症,咨询病因
1864,5,CLIENT,频繁胃酸,描述症状
1973,47,CLIENT,痛就会一直腐蚀粘膜？,咨询危害
2048,85,CLIENT,这种菌繁殖快吗？，有多快？,无
2178,40,CLIENT,很遗憾不在你的城市,无
2202,11,CLIENT,百度拇指医生,无
2202,52,CLIENT,是三甲医院么,咨询公司介绍
2202,57,CLIENT,那是公立还是私人性质的啊,咨询公立私立
2219,9,CLIENT,似睡非睡状态,无
2389,57,CLIENT,病治不好，人民币用了一大堆，就惨了！,无
2411,26,CLIENT,什么彻底治疗呢,咨询治疗方式
2468,6,CLIENT,偶尔有自己有感觉，没有按压但是不知道属不属于痛一个多月,描述症状
2529,53,CLIENT,这是你们医院的平台吗？,咨询公司介绍
2923,30,CLIENT,一班几天一个疗程，一个疗程需要几多医药费？,咨询疗程
2947,22,CLIENT,也检查过了，说是盆腔炎，但是不大不会痛呀，又叫去看内科又做肠镜，还是查不出来,描述就诊史
2982,34,CLIENT,星期六才有空带我去，我家人,确定预约时间
3029,29,CLIENT,医生 建议吃中药调理。但是孩子不愿意。只要忌口就行。问题 他老是偷偷吃辣条 基本 天天吃。,描述就诊史
3056,4,CLIENT,我在想，你们是不是官方的,无
3077,22,CLIENT,慢性结肠炎能治除根吗,咨询疗效
3120,20,CLIENT,硫糖铝混悬凝胶,咨询药物
6057,28,CLIENT,现胃的问题不大，反而直肠问题突出,描述症状
6248,22,CLIENT,PND16546432,咨询微信
6333,29,CLIENT,治疗起来麻烦吗？费用高吗,咨询疗程
6426,18,CLIENT,不算频道,无
