uuid,sentence,已完成,items1
A5854910018720015,咬肌不大,,
A8412990009143005,之前有动过一次手术,,
A1850300000377013,波尿酸呢？,,
A89116700000580,打苹果肌失败了怎么办,,
A8412990010432008,要切除 因为是一颗硬疙瘩,,
A50156600060390,没有，下巴从小长的不一样大，脸形有点偏,,
A18002800032960,人中旁边,,
A67080300089950,私密的毛也是吗,,
A9963270038276018,听说可以激光治疗，是不是？你们那边一次激光治疗要多少钱？,,
A8997980012724045,毕竟比较私密，还是不加了,,
A6577100002405022,十来分钟就能去除掉,,
A6708030001953007,是拔了牙齿之后,,
A84129900104070,下巴长期长痘，皮肤已经损坏，痘痕痘印很难去除。,,
A5732510001069012,还是要手术吗,,
A5860280001145011,不会说什么这个是50毫升的价格，然后说我的需要100毫升要加价吧？,,
A7830660002131007,咋治呀,,
A84129900121400,反正我注射了苹果肌嘴上嘴唇鼻翼然后就3万,,
A9170690001575008,没有肿眼泡现象,,
A6577100003896005,多少钱？打几次？什么药,,
A84129900046720,私密脱毛包干多少钱,,
A8412990009162011,还是次的价格,,
A3991420013616056,我要是男生还故意问女生私密脱毛么……,,
A2860740000227010,眼袋手术刚刚拆线2天，但是右眼好好的，就是左眼有点不满意,祛眼袋,
A4276530010773007,是怎么变白,,
A6068820005842006,苹果肌填充一下,,
A8412990004971006,一只绿红色的蝴蝶,,
A7261990001001032,微针是那种手动的滚轮吗,,
A8412990001474010,隐形矫正能具体讲解下吗,,
A5860280002888002,你是机器人还是真人,,
A1817780015816010,这个年龄能做吗,,
A4276530013198008,要花几多钱才可以去掉,,
A2875580001232031,那6-18个月以后怎么办,,
A60688200086780,就是私密,,
A2875580015122018,一般几天消退这些症状,,
A2808500000862039,出血了,,
A7830660003455031,嘴周有点能做吗,,
A9170690009431008,关键我现在不知道能不能做,,
A1600310010338036,那是永久性的吗？,,
A85924800151990,没有私密处整形吗,,
A8911670006097007,我现在想预约明天下午三点的可以吗,,
A2511160000168001,你好 你们那大分子玻尿酸多少钱啊,,
A2875580002086030,我就是想过去所以咨询一下，费用啊怎么治疗啊，好有个心理准备什么的。,,
A3226050000213008,最近又严重了,,
A5015660009015011,正常一支价位多少,,
A85924800006830,那我这下巴老长痘，和假体有关吗,,
A4276530002534010,如果是大面积的话，一般要多少钱？,,
A1800280002032017,不，双头的效果和单头有什么区别的,,
A6068820001677012,还有别的方法么,,
A2875580001715014,象我这样，能不能取出，植入同步完成？,,
A5861350003055013,你们这有禾雅吗,,
A5861350004256024,我今天是一个人，路过看见，就突然想起,,
A1817780000946017,你先告诉我多少钱一针,,
A39914200072120,请问贵院做男士私密处脱毛吗,,
A8412990012252031,那这种一般多少钱呢,,
A74196500099730,做泪沟 苹果肌,,
A8592480000839029,能不能行啦,,
A5015660005428026,你能给我拍一张什么是私密缩小吗？,,
A1817780000102026,就额头高啊,,
A3991420001070018,有不严重,,
A57275000001950,女52岁皮肤，苹果肌松弛下垂做几次有改善，每次价位，维持多久。,,
A6577100009340015,之前都是做控油祛痘、毛孔紧致套盒,毛孔收缩#祛痘,
A5854910014326025,还有不同价格的？,,
A5015660012165045,娜琦丽晶面的有吗,,
A7419650010667015,不会过半年或一段时间就被自身吸收然后需要不停的补充吗？,,
A8330100013646034,私密包括肚脐下两寸吗,,
A8412990004525010,我在这里先大概咨询一下价位,,
A5283910000327006,没有，那有什么方法能变白,,
A99632700225490,我想咨询私密整形。,,
A60688200094190,下巴总是长痘痘,,
A8592480009889031,屁股那,,
