症状a,症状b,label,index
阴茎有异味,阴茎白斑,0,13944
精液量多,精子稀少,0,9294
阴茎撕裂,阴茎不是很硬,0,3617
睾丸萎缩,睾丸左侧曲张,0,15329
射精出血,性生活就短,0,8591
阴茎短小,勃起时不够硬,0,15979
阴茎弯曲,阴茎萎缩,0,1743
淋巴结肿大,大腿下肢静脉曲张,0,12344
龟头结痂,龟头上有小疙瘩,0,15587
龟头有小痘痘,龟头表皮破损,0,10494
睾丸潮湿,睾丸积水,0,11786
脱皮,外阴阴蹄瘙痒,0,3398
龟头出血,龟头粘连,0,13770
没有晨勃,半硬不硬,0,12281
阴茎短小,中途也会疲软,0,7152
睾丸胀,睾丸一侧疼,0,15343
尿无力,小便特别黄,0,5617
有点发炎,有点憋尿,0,7411
包皮水肿,包皮不敢翻过来,0,9957
睾丸下垂,睾丸也疼,0,8927
阴茎过大,阴茎硬起来一会就软了,0,12092
死精,精子发黑,0,8110
龟头疼,龟头边缘发紫,0,7889
龟头流脓,龟头有小裂口,0,9801
包皮红肿,龟头有白斑,0,12445
龟头结痂,龟头骚痒,0,16007
尿频,有堵的感觉,0,12618
虚汗,流虚汗,1,4403
睾丸疼,右边蛋蛋疼,1,5406
龟头出不来,龟头有一片红,0,11187
小便出血,小便刺疼,0,931
龟头脱皮,龟头爱软,0,11702
性欲减退,射精就软了,0,2728
尿急,控制不住就射了,0,13379
包皮紧,包皮龟头局部有红点,0,3889
尿里有泡沫,尿尿特黄,0,3169
下面痒,有点弯,0,1009
尿无力,小便灼痛,0,8849
精液发黄,精液好像带血,0,8499
尿痛,小便深黄色,0,9456
尿有灼热感,有点向左歪,0,4827
精液像果冻,精子红色,0,15611
囊肿,有点肿胀感,0,12649
尿浑浊,老想小便,0,5575
龟头灼热,阴茎硬了,0,8679
龟头充血不足,龟头过度敏感,0,4395
射精出血,性生活有点冷淡,0,16195
阴茎扭转,阴茎特别痒,0,11212
尿分叉,小便的时候不痛,0,3213
阴茎过大,阴茎下表皮发红疼痛,0,1861
尿胀,小便不痛,0,13974
精液粘稠,精子有点淡黄色,0,3516
包皮水肿,包皮总是自己掉下来,0,9635
小便出血,小便很少,0,729
阴茎疼,丁丁痒,0,12385
阴囊红肿,睾丸一边疼,0,13662
硬度不够,脖起不坚,1,9943
包皮有点长,龟头表皮破损,0,9376
肾虚,性功能下降,0,12796
睾丸肿大,睾丸疼狠疼,0,8005
尿有灼热感,有点粘连,0,2383
尿量少,水不多,0,1014
龟头溃烂,龟头出血,0,4208
长疙瘩,一圈红点,1,11890
龟头出不来,龟头有淤血,0,14908
精子成活率低,精子稀,0,893
阴茎弯曲,阴茎麻木,0,4443
阴茎有硬块,阴茎有点肿,0,15084
红肿,生殖器疼,0,7931
龟头红肿,阴茎感觉有点小,0,2398
小腹坠胀,小腹不疼,0,3733
龟头有珍珠疹,龟头有白色污垢,0,5570
中途疲软,干干就软了,1,11245
包皮水肿,包皮前端痒红,0,5440
射精无力,射精块,0,810
龟头有红斑,龟头有黑斑,1,13846
尿分叉,尿尿时尿道疼,0,14997
长疙瘩,硬疙瘩,1,7051
