uuid,sentence,sentence2,label
c9f43b10-1bf8-11ea-ab2b-e0d55e7e3b80,多长时间就能走,需要多长时间,0
c9f06b99-1bf8-11ea-a702-e0d55e7e3b80,就是早上没有啥勃起,早上还是能勃起来,0
c9ef824e-1bf8-11ea-a312-e0d55e7e3b80,我问问您,我想问下,1
c9f41358-1bf8-11ea-89c3-e0d55e7e3b80,什么医院,医院在那,0
c9f3ec21-1bf8-11ea-9dfe-e0d55e7e3b80,这个情况是什么原因引起的呢,这个病情是什么原因引起的啊,1
c9f4885d-1bf8-11ea-9e97-e0d55e7e3b80,在什么地方,这个地方是在什么地方,1
c9f1091c-1bf8-11ea-8998-e0d55e7e3b80,已经加了,我已经加了,1
c9f43acf-1bf8-11ea-b381-e0d55e7e3b80,早泄能治疗好吗？,做了手术后早泄能好吗,0
cb05ee4f-1bf8-11ea-b339-e0d55e7e3b80,费用大概要多少,大概费用是多少钱,1
c9f0e202-1bf8-11ea-8cd0-e0d55e7e3b80,什么原因造成的,嗯，什么原因呀,1
c9f39ed7-1bf8-11ea-8d6a-e0d55e7e3b80,很严重？,你认为严重吗,1
c9f3ec41-1bf8-11ea-b8bd-e0d55e7e3b80,前列腺可以治吗,前列腺有问题,0
c9f218ff-1bf8-11ea-af30-e0d55e7e3b80,能治疗早泄吗,有早泄阳痿,0
c9f15681-1bf8-11ea-9ad6-e0d55e7e3b80,你那可以检查吗,那检查什么,0
c9ef5b1d-1bf8-11ea-8114-e0d55e7e3b80,就是先咨询一下,让我咨询一下,1
c9f41307-1bf8-11ea-9258-e0d55e7e3b80,这是什么啊,这是什么导致的,0
c9f3ec08-1bf8-11ea-91fc-e0d55e7e3b80,应该怎么治疗啊,怎么治疗呢，,1
c9f1cae0-1bf8-11ea-9dcf-e0d55e7e3b80,什么原因啊！,这属于什么原因,1
c9f4d6ba-1bf8-11ea-9c04-e0d55e7e3b80,什么情况就属于呢,什么情况呢,1
c9f43b6e-1bf8-11ea-bc76-e0d55e7e3b80,恢复前多久不可以性生活呢,术后多长时间可以性生活,0
c9f4d64e-1bf8-11ea-acc5-e0d55e7e3b80,这个应该怎么治疗一下呀？,那这个要怎么治疗,1
c9f17cfd-1bf8-11ea-9724-e0d55e7e3b80,是打针还是吃药，还是手术啊,吃药还是打针,1
c9f3c619-1bf8-11ea-b000-e0d55e7e3b80,这需要去医院吗,是3甲医院吗,0
c9f108d6-1bf8-11ea-8db5-e0d55e7e3b80,噢！要怎么治疗？,是吧，需要怎么治疗呢,1
c9f1cab5-1bf8-11ea-abda-e0d55e7e3b80,那现在怎么办？,那的怎么办,1
c9f35195-1bf8-11ea-9d59-e0d55e7e3b80,女性怎么治疗,该怎么治疗呢？,0
c9f2db85-1bf8-11ea-83e5-e0d55e7e3b80,一直检查,以前检查了,1
cb05a07f-1bf8-11ea-a77e-e0d55e7e3b80,2分钟呢？,也就是5分钟,0
c9f301de-1bf8-11ea-bb89-e0d55e7e3b80,是医保吗？！,医保也不可以报销吗,0
c9f3ec7c-1bf8-11ea-a877-e0d55e7e3b80,以前就是有浓     现在没有,以前有。最近一年没有了。,0
c9f1f1b2-1bf8-11ea-ac4a-e0d55e7e3b80,什么原因引起得,嗯，什么原因呀,1
c9f1a359-1bf8-11ea-a7c1-e0d55e7e3b80,割包皮多少钱,割包皮多钱,1
c9f0e1b1-1bf8-11ea-8794-e0d55e7e3b80,会影响 她生育嘛,会影响生育问题不,1
c9f328fa-1bf8-11ea-9596-e0d55e7e3b80,这个怎么办 昵,该怎么办呀,1
c9ef8246-1bf8-11ea-bc75-e0d55e7e3b80,您的多少，我加您也行,你微信多少？我加你,1
c9f46259-1bf8-11ea-83fe-e0d55e7e3b80,会不会感染啊,也会感染？,1
c9f13070-1bf8-11ea-a01c-e0d55e7e3b80,不性生活也有,性生活没有,0
c9f488b8-1bf8-11ea-85df-e0d55e7e3b80,手淫导致的呢,手淫导致是么坏处,0
c9f093b1-1bf8-11ea-8822-e0d55e7e3b80,有性生活就是这样的,还有性生活,1
c9ef81db-1bf8-11ea-9142-e0d55e7e3b80,如何加你微信,怎样加你微信！,1
